StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q48,Q1,Q1,Q2,Q3,Q4,Q5,Q6,Q9,Age of acquisition,Q19_1,Q19_2,Q19_3,Q19_4,Age of arrival,Q21-months,Length of residence,Q21,Q23,Percentage of L1 usage,Percentage of L2 usage,Q50,1_Q59,2_Q59,3_Q59,4_Q59,5_Q59,6_Q59,7_Q59,8_Q59,9_Q59,10_Q59,11_Q59,12_Q59,13_Q59,14_Q59,15_Q59,16_Q59,17_Q59,18_Q59,19_Q59,20_Q59,21_Q59,22_Q59,23_Q59,24_Q59,25_Q59,26_Q59,27_Q59,28_Q59,29_Q59,30_Q59,31_Q59,32_Q59,33_Q59,34_Q59,35_Q59,36_Q59,37_Q59,38_Q59,39_Q59,40_Q59,41_Q59,42_Q59,43_Q59,44_Q59,45_Q59,46_Q59,47_Q59,48_Q59,49_Q59,50_Q59,Q63,1_Q175,2_Q175,3_Q175,4_Q175,5_Q175,6_Q175,7_Q175,8_Q175,9_Q175,10_Q175,11_Q175,12_Q175,13_Q175,14_Q175,15_Q175,16_Q175,17_Q175,18_Q175,19_Q175,20_Q175,21_Q175,22_Q175,23_Q175,24_Q175,25_Q175,26_Q175,27_Q175,28_Q175,29_Q175,30_Q175,31_Q175,32_Q175,33_Q175,34_Q175,35_Q175,36_Q175,37_Q175,38_Q175,39_Q175,40_Q175,41_Q175,42_Q175,43_Q175,44_Q175,45_Q175,46_Q175,47_Q175,48_Q175,49_Q175,50_Q175,Q22,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,L2 proficiency score,GJT score,,,,,,,,,,,,,,
45597.36034,45597.37965,IP Address,107.218.204.36,100,1668,TRUE,45597.37965,R_5KZnYvtDDR5wWvQ,,,,,38.9683,-95.2695,anonymous,EN,,Let's get started!,Male,49,"Perugia, Italia",N/A,N/A,Ph.D.,Italian,11,In another language,In another language,In another language,In English,29,240,20,20,No,0.4,0.6,I am ready to begin the experiment.,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Yes!,to discuss about,so that I could,can't she ever,most of,of which,yet,found,close to win,"he is	",it to be,whether,we all,not having been,nor did,has not concerns,"as fast as	",should,somebody’s else,hardly,provided that,14,86,,,,,,,,,,,,,,
45597.50995,45597.52568,IP Address,24.225.106.170,100,1358,TRUE,45597.52568,R_1HMG8LadxMrQKvO,,,,,39.0357,-95.195,anonymous,EN,,Let's get started!,Male,27,Turkey,N/A,N/A,Graduate school,Turkish,8,In another language,In another language,In English,In English,27,3,0.25,3 months,N/A,0.25,0.75,I am ready to begin the experiment.,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Yes!,to discuss about,so that I could,can't she ever,most,of which,yet,have not found,close to winning,was he,it to be,whether,we all,not having been,nor did,is not concerned,faster than,might,somebody else’s,hardly,provided that,16,91,,,,,,,,,,,,,,
45597.58892,45597.6023,IP Address,129.237.90.158,100,1156,TRUE,45597.60231,R_1nj84ByxXDrNc9s,,,,,38.9683,-95.2695,anonymous,EN,"I confirm that I am at least 18 years old, have read this Informed Consent Form, accept its terms and conditions, and agree to participate in this study voluntarily.",Let's get started!,female,22,"Yokohama, Japan",graduate student ,MA-Education,N/A,"English, Japanese",2,In another language,In another language,In another language,In English,2,35,2.916666667,2 years and 11 months,N/A,0.2,0.8,I am ready to begin the experiment.,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,I am ready!,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Yes!,to discuss,so that I could,can't she ever,most,of that,yet,found,close to win,he was,it to be,whether,we all,not having been,neither,is not concerned,"as fast as	",would,somebody else’s,hardly,provided that,15,69,,,,,,,,,,,,,,
45597.61391,45597.64347,IP Address,129.237.90.174,100,2553,TRUE,45597.64348,R_3WHBfawUSszVskN,,,,,38.9683,-95.2695,anonymous,EN,,Let's get started!,Female ,24,Tokyo,MA,East Asian Languages and Cultures,N/A,Japanese,12,In another language,In another language,In another language,In English,22,27,2.25,2years and 3months,N/A,0.5,0.5,I am ready to begin the experiment.,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Yes!,to discuss,so that I can,can't she ever,most of,of that,yet,found,close to win,"he is	",it to be,whether,we all,he has not been,nor did,is not concerned,"as fast as	",would,somebody else’s,hardly,provided that,13,78,,,,,,,,,,,,,,
45597.87727,45597.92737,IP Address,162.220.71.79,100,4329,TRUE,45597.92738,R_51wuzGwG41zAVUJ,,,,,39.0357,-95.195,anonymous,EN,,Let's get started!,Femal,45,Kurdistan-Iraq,PhD  program,PhD- Curriculum &Teaching,N/A,Kurdish,9,In another language,In another language,In English,In English,33,142,11.83333333,11years and 10 months,N/A,0.3,0.7,,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Yes!,to discuss about,that I could,she can never,most,which,yet,did not find,close to win,"he is	",that it is,either,all we,has not been,neither,does not concern,so fast that,should,somebody’s else’s ,hardly,provided that,5,53,,,,,,,,,,,,,,
45597.92256,45597.94233,IP Address,165.23.217.150,100,1707,TRUE,45597.94233,R_3pGrLyjepjro2Pi,,,,,38.9683,-95.2695,anonymous,EN,,Let's get started!,Male,35,"Uijeongbu-si, South Korea",N/A,N/A,Graduate School,Korean,14,In another language,In English,In English,In English,14,252,21,21 years,N/A,0.65,0.35,I am ready to begin the experiment.,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Yes!,to discuss,so that I could,can't she ever,most,which,yet,found,close to winning,was he,it to be,either,we all,his not being,nor did,does not concerning,"as fast as	",should,somebody else’s,hardly,despite the fact that,15,56,,,,,,,,,,,,,,
45597.96527,45597.98556,IP Address,64.52.143.37,100,1753,TRUE,45597.98557,R_6t09nQ51uX5N68x,,,,,34.1483,-118.0016,anonymous,EN,"I confirm that I am at least 18 years old, have read this Informed Consent Form, accept its terms and conditions, and agree to participate in this study voluntarily.",Let's get started!,Female,31,South Korea,N/A,N/A,Bachelor Degree,Korean,11,In another language,In English,In English,Not applicable,13,219,18.25,18 years and 3 months,N/A,0.3,0.7,I am ready to begin the experiment.,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Yes!,to discuss,that I can,can't she ever,most,of that,yet,found,close to win,he was,that being,whether,we all,not having been,so did,does not concern,"as fast as	",could,somebody else’s,hardly,provided that,12,58,,,,,,,,,,,,,,
45598.45896,45598.47139,IP Address,162.220.71.79,100,1074,TRUE,45598.4714,R_7QMYjjjFQXrdsXO,,,,,39.0357,-95.195,anonymous,EN,,Let's get started!,female,18,"Erbil, Iraq",undergraduate student,BSB Marketing,N/A,Kurdish,7,"In English,In another language",In English,In English,Not applicable,7,132,11,11,N/A,0.1,0.9,I am ready to begin the experiment.,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,I am ready!,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Yes!,to discuss,so that I could,can't she ever,most,of which,yet,found,close to winning,"he is	",it to be,whether,we all,not having been,nor did,is not concerned,faster so,should,somebody else’s,hardly,provided that,18,97,,,,,,,,,,,,,,
45599.37307,45599.39221,IP Address,99.42.236.241,100,1654,TRUE,45599.39222,R_3AaIEQLt3nTu9iN,,,,,39.0518,-94.4046,anonymous,EN,,Let's get started!,F,29,"Luanda, Angola",n/a,n/a,college,Portugese,15,In another language,In another language,In another language,Not applicable,25,48,4,4 years,Yes Scotland 2 years,0.041666667,0.291666667,I am ready to begin the experiment.,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Yes!,to discuss about,so that I can,can't she ever,most of,of which,yet,found,close to win,he was,it to be,whether,us all,he has not been,nor did,does not concern,so fast that,would,somebody else’s,nearly,unless,8,78,,,,,,,,,,,,,,
45599.50737,45599.51716,IP Address,152.53.107.51,100,846,TRUE,45599.51719,R_2oks9Q1mLhAgZSF,,,,,48.2048,16.3801,anonymous,EN,,Let's get started!,Female,24,"Kazan, Russia",Junior,BA-Philosophy,N/A,2,7,In English,In English,In English,Not applicable,,288,24,N/A,N/A,0.9,0.2,I am ready to begin the experiment.,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Grammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,Ungrammatical,I am ready!,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Ungrammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Grammatical,Yes!,to discuss,so that I could,can't she ever,the most of,of which,yet,found,close to win,"he is	",it to be,either,we all,he has not been,nor did,is not concerned,"as fast as	",should,somebody’s else,hardly,provided that,14,56,,,,,,,,,,,,,,
