"","Length","Freq","Mean_RT","ZMean_RT","MADMean_RT","LogFreq"
"marveled",8,131,819.19,0.0713854395335905,0.233381911522689,4.88280192258637
"persuaders",10,82,977.63,1.10554647894237,1.31300322719144,4.4188406077966
"midmost",7,0,908.22,0.652497263180167,0.840038600073492,0
"crutch",6,592,766.3,-0.273835321475816,-0.127014272431619,6.38519439899773
"resuspension",12,2,1125.42,2.07019341162492,2.32005469299986,1.09861228866811
"efflorescent",12,9,948.33,0.9143010961181,1.11335096419539,2.30258509299405
"row",3,14013,641.67,-1.08731354882697,-0.97625186755783,9.54781210893048
"expansively",11,15,816.94,0.0566993606477678,0.218050253101491,2.77258872223978
"joblessness",11,48,931.13,0.802034181968699,0.99614895315334,3.89182029811063
"jumpy",5,290,654.12,-1.00605057899208,-0.891416690960531,5.67332326717149
"enjoys",6,3264,583.81,-1.46497422630861,-1.37051398144696,8.09101504171053
"screws",6,3523,667.18,-0.920806049992593,-0.802424931413486,8.16735198705607
"euphemistic",11,46,1054.77,1.60905053461009,1.83864061857422,3.85014760171006
"owed",4,1733,737.33,-0.462926746063497,-0.324417892192562,7.45818615734049
"intricately",11,192,931.04,0.801446738813266,0.995535686816492,5.26269018890489
"feathery",8,78,748.1,-0.392629381796693,-0.251030353883091,4.36944785246702
"magistrate",10,640,849.67,0.270332854840202,0.441074777601858,6.46302945692067
"drunkard's",10,6,914.5,0.69348774113704,0.88283096224466,1.94591014905531
"conclusions",11,7718,620.79,-1.2236003608874,-1.11852965770655,8.95144010094985
"menstruate",10,39,910.72,0.668815128608859,0.857073776097046,3.68887945411394
"unpublished",11,1412,978.81,1.11324851142471,1.32104383027456,7.25347038268453
"inequity",8,256,871.68,0.413995342074405,0.591052467313227,5.54907608489522
"speakeasy",9,75,948.11,0.912865123960375,1.11185186870532,4.33073334028633
"abstractors",11,0,942.86,0.878597606560122,1.07607799905586,0
"poker",5,4519,636.56,-1.12066726576321,-1.01107176734997,8.41626727282628
"pushes",6,2089,595.31,-1.38991204533663,-1.29215217173862,7.64491934495886
"goof",4,716,692.45,-0.755865066239375,-0.630233372167402,6.57507584059962
"failure",7,23998,751.29,-0.371807785509682,-0.229293469277037,10.0857674417953
"dessertspoon",12,11,1314.33,3.30323659487859,3.60730073404369,2.484906649788
"informing",9,2146,787.81,-0.133436407327351,0.0195563820750392,7.67182679787878
"moneys",6,269,676.72,-0.858537075516704,-0.737418699707604,5.59842195899838
"preset",6,702,762.75,-0.297006690384558,-0.151204222385065,6.55535689181067
"synthesis",9,6742,755.57,-0.343871599895761,-0.200129247924712,8.81626020873458
"bandage",7,331,792.45,-0.103150449091698,0.051173668774756,5.80513496891649
"chunky",6,1274,652.24,-1.01832161379446,-0.904227143330244,7.15070145759253
"succinct",8,408,759.32,-0.319394801752723,-0.174576483889381,6.0137151560428
"jewelled",8,272,819.93,0.0762155277004826,0.23842432362566,5.60947179518496
"gaieties",8,8,997.33,1.23413125852046,1.44724041425705,2.19722457733622
"maturing",8,393,817.45,0.0600282051952209,0.221525429010296,5.97635090929793
"stinger",7,419,728.34,-0.521605790145074,-0.385676385173262,6.04025471127741
"bottling",8,600,752.41,-0.364497381797628,-0.221661710418485,6.39859493453521
"mechanic's",10,67,832.55,0.158588112384519,0.324417892192561,4.21950770517611
"spelled",7,4687,713.94,-0.615596695014339,-0.483798999068932,8.45276133125685
"straightway",11,21,768.41,-0.260063043054,-0.112636583867739,3.09104245335832
"campuses",8,1380,816.67,0.0549370311814684,0.216210454090946,7.23056315340929
"diagnostic",10,3749,748.47,-0.390214337713246,-0.248509147831605,8.22951111896446
"teletype",8,183,1013.69,1.34091536988582,1.55871860615519,5.21493575760899
"race",4,46405,564.18,-1.5931021056547,-1.50427418358391,10.7451840401993
"sanitary",8,472,769.26,-0.254514968808245,-0.106844624019731,6.15909538849193
"buffeted",8,33,886.24,0.509030590331107,0.690265332474406,3.52636052461616
"subsidiary",10,3348,849,0.265959666905312,0.436509350427546,8.1164170727942
"sandalwood",10,52,798.36,-0.0645750152182708,0.0914448248944373,3.97029191355212
"nether",6,4796,938.2,0.84818110540104,1.04432443094795,8.47574600150206
"dowry",5,226,911.75,0.675538089165479,0.86409226861875,5.4249500174814
"Lucifer's",9,138,768.07,-0.262282272752302,-0.114953367806942,4.93447393313069
"overcoats",9,44,724.09,-0.54934616137385,-0.414636184413303,3.80666248977032
"incombustible",13,0,915.96,0.703017374547397,0.892779505042415,0
"boatloads",9,57,837.38,0.190114228392752,0.357329852270067,4.06044301054642
"staminate",9,0,841.18,0.214917383844364,0.383223319825869,0
"denominated",11,185,1089,1.83247474805974,2.07188624868873,5.2257466737132
"introject",9,2,913.53,0.687156409350708,0.87622131394752,1.09861228866811
"comb",4,1614,677.91,-0.850769771572647,-0.729309955920392,7.38709023565676
"land",4,75075,594.15,-1.39748353489554,-1.30005649341354,11.2262562127761
"discourage",10,2760,685.53,-0.801032917745994,-0.6773867394006,7.92334821193015
"gallows",7,279,741.31,-0.436948704301021,-0.297297891963064,5.63478960316925
"recruiting",10,11468,716.9,-0.596276342346768,-0.463629350657045,9.34740302236452
"organizational",14,3601,904.47,0.628020465037129,0.814485836038161,8.1892445257359
"prefab",6,110,750.25,-0.378596017528018,-0.236380102502835,4.70953020131233
"cavalcade",9,127,860.29,0.339651147181285,0.513440205349915,4.85203026391962
"acquisitiveness",15,4,1216.81,2.66670930023618,2.9427925877169,1.6094379124341
"forwards",8,1898,633.09,-1.14331646297824,-1.03471659167067,7.54908271081229
"lazybones",9,3,788.94,-0.126060732153582,0.0272562816376863,1.38629436111989
"acorn",5,8301,721.96,-0.563248982719095,-0.429150154385371,9.02425172861298
"parsons",7,2713,761.07,-0.307972295952639,-0.162651860672893,7.90617884039481
"riverbank",9,39,633.71,-1.13926963235192,-1.03049186801683,3.68887945411394
"kinky",5,1591,733.74,-0.486359200819099,-0.348880404962385,7.37274636640433
"contingent",10,1538,782.07,-0.170902226351627,-0.01955638207504,7.33888813383888
"roadworthy",10,11,980.25,1.12264760191164,1.33085609166413,2.484906649788
"outspan",7,0,812.39,0.0270008455675481,0.187046232738622,0
"receptionist's",14,19,923.74,0.753798571761486,0.945792972827715,2.99573227355399
"shrunken",8,148,883.5,0.491146209821261,0.671594779552591,5.00394630594546
"metabolism",10,1759,669.24,-0.907360128879351,-0.788387946370077,7.4730690880322
"wingspread",10,12,907.39,0.647079731857841,0.834382921633672,2.56494935746154
"hum",3,2850,726,-0.53687931218633,-0.401621309931308,7.95542508891267
"soothsayer",10,54,814.52,0.0409036669127935,0.20156020271069,4.00733318523247
"tatters",7,86,763.55,-0.291784973447377,-0.145752966057528,4.46590811865458
"repeated",8,10161,663.79,-0.942933075513899,-0.825524630101425,9.22641055215368
"lenient",7,377,872.55,0.41967395924359,0.596980708569424,5.93489419561959
"fertile",7,1394,648,-1.04599671356152,-0.933118801866192,7.24064969425547
"spare",5,10605,681.13,-0.829752360900492,-0.707368649202055,9.26917515769708
"club's",6,757,641.06,-1.09129510799157,-0.980408450507578,6.63068338564237
"minced",6,775,775.59,-0.213198133542797,-0.0637115583280919,6.65415252018322
"drain",5,14860,602.09,-1.34565799429402,-1.24595277436274,9.60649561075857
"justice",7,31679,576.58,-1.51216549312839,-1.41977971050708,10.3634408459284
"numerology",10,181,792.93,-0.10001741892939,0.0544444225712777,5.2040066870768
"powwow",6,158,876.56,0.445847815391212,0.624305130911204,5.06890420222023
"backdoor",8,429,710.63,-0.637201548841927,-0.506353572124118,6.06378520868761
"maladjusted",11,93,875.27,0.437427796830007,0.615514980083051,4.54329478227
"Elaine",6,2434,627.11,-1.18234879708367,-1.07546473271901,7.79770203551669
"diacritical",11,162,1458.75,4.24588704496327,4.59138878257235,5.09375020080676
